date,month,type,repo,count
2024-12-06T17:11:43Z,12,Code Review,fantasy/fantasy-sidecar-injektilo,1
2024-12-06T15:47:26Z,12,Code Review,fantasy/argocd-dev,1
2024-12-06T14:39:16Z,12,Code Review,fantasy/fantasy-terraform-dev,1
2024-12-04T19:50:59Z,12,Code Review,fantasy/fantasy-terraform-dev,1
2024-12-03T16:58:03Z,12,Code Review,fantasy/fantasy-terraform-prod,1
2024-11-29T19:09:30Z,11,Code Review,fantasy/integration-test,1
2024-11-25T19:08:13Z,11,Code Review,fantasy/gateway,1
2024-11-22T17:08:59Z,11,Code Review,fantasy/gateway,1
2024-11-20T19:39:21Z,11,Code Review,fantasy/fantasy-terraform-prod,1
2024-11-15T22:42:37Z,11,Code Review,fantasy/torwart,1
2024-11-11T20:32:44Z,11,Code Review,fantasy/argocd-dev,1
2024-11-11T20:12:35Z,11,Code Review,fantasy/argocd-prod,1
2024-11-11T19:58:56Z,11,Code Review,fantasy/argocd-dev,1
2024-11-07T15:11:05Z,11,Code Review,fantasy/mas,1
2024-11-04T14:29:26Z,11,Code Review,fantasy/mas,1
2024-11-04T14:25:55Z,11,Code Review,fantasy/mas,1
2024-11-04T14:15:12Z,11,Code Review,fantasy/gateway,1
2024-11-01T15:41:55Z,11,Code Review,fantasy/fantasy-scala-sbt-docker,1
2024-10-28T19:30:44Z,10,Code Review,fantasy/gateway,1
2024-10-28T14:19:20Z,10,Code Review,fantasy/argocd-prod,1
2024-10-28T13:55:39Z,10,Code Review,fantasy/mas,1
2024-10-28T12:34:53Z,10,Code Review,fantasy/gateway,1
2024-10-23T19:22:23Z,10,Code Review,fantasy/cloudia-cache,1
2024-10-23T18:01:05Z,10,Code Review,fantasy/argocd-dev,1
2024-10-07T17:38:04Z,10,Code Review,fantasy/monitoring,1
2024-10-01T19:09:43Z,10,Code Review,fantasy/fantasy-desplegar,1
2024-09-20T09:35:41Z,9,Code Review,fantasy/fantasy-jav17-sebastiansarco,1
2024-09-18T20:36:29Z,9,Code Review,fantasy/gateway,1
2024-09-18T19:59:45Z,9,Code Review,fantasy/fantasy-desplegar,1
